会员id,订单号,地区,货币类型,商户,记录时间,账变类型,账变二类,变化金额,变化后余额,变动后保险柜,变动后冻结金额,变动后佣金,操作人,备注
3045729057,THRP17658539271268979,巴西,BRL,800,2025-12-15 23:59:27.185,充值,三方,10.0,10.26,0.0,0.0,0.0,,三方回调上分
3340433490,THRP176585392376844170,巴西,BRL,800,2025-12-15 23:59:12.996,充值,三方,50.0,50.65,0.0,0.0,0.0,,三方回调上分
3251201540,THRP176585392020595820,巴西,BRL,800,2025-12-15 23:59:05.643,充值,三方,10.0,10.07,0.0,0.0,0.0,,三方回调上分
3227822862,THRP176585386703095289,巴西,BRL,800,2025-12-15 23:58:54.702,充值,三方,20.0,20.13,0.0,0.0,0.0,,三方回调上分
3182956245,THRP176585385620943202,巴西,BRL,800,2025-12-15 23:58:32.867,充值,三方,10.0,10.0,0.0,0.0,0.01,,三方回调上分
3322872438,THRP176585388164115595,巴西,BRL,800,2025-12-15 23:58:32.549,充值,三方,50.0,50.32,0.0,0.0,0.0,,三方回调上分
3827241678,THRP176585386478049954,巴西,BRL,800,2025-12-15 23:58:24.468,充值,三方,320.0,320.39,0.0,0.0,0.0,,三方回调上分
3439537707,THRP176585384760581137,巴西,BRL,800,2025-12-15 23:58:04.665,充值,三方,20.0,20.02,0.0,0.0,0.0,,三方回调上分
3986412665,THRP176585383785627824,巴西,BRL,800,2025-12-15 23:57:59.790,充值,三方,50.0,58.94,0.0,0.0,0.13,,三方回调上分
3149537570,THRP176585374689435814,巴西,BRL,800,2025-12-15 23:57:44.391,充值,三方,10.0,10.26,0.0,0.0,0.0,,三方回调上分
